15,21,19
16,22,20
17,23,21
20,26,24
21,27,25
20,26,24
18,24,22
16,22,20
17,23,21
18,24,22
18,24,22
17,23,21
16,22,20
16,22,20
17,23,21
18,24,22
21,27,25
23,29,27
26,32,28
27,33,29
26,32,28
26,32,28
27,34,27
28,35,28
28,35,28
27,34,27
27,34,26
28,35,27
28,35,27
27,34,26
29,37,26
32,40,29
31,38,30
34,41,33
38,45,37
41,48,40
44,49,42
46,51,44
49,54,47
51,56,49
54,59,52
55,60,53
59,62,55
60,63,56
59,62,55
58,61,54
57,60,53
56,59,52
54,59,52
52,57,50
49,52,43
49,52,43
57,59,48
58,60,49
58,60,47
61,63,50
62,64,51
61,63,50
64,68,54
65,69,55
58,64,52
54,62,49
47,57,46
44,50,38
45,46,32
47,45,30
39,40,26
33,37,22
37,44,28
22,31,14
26,37,21
19,32,15
22,35,18
21,34,17
25,36,20
18,26,11
21,28,12
15,22,6
18,22,7
13,17,2
10,16,2
6,12,0
7,10,1
8,11,2
7,10,3
4,7,0
5,6,1
8,9,4
8,7,5
3,2,0
9,8,4
5,4,0
6,7,1
4,5,0
10,11,3
4,5,0
2,4,0
8,10,0
0,3,0
4,7,0
1,6,0
0,2,0
1,6,0
1,6,0
5,10,3
0,3,0
13,16,7
16,18,7
16,16,4
35,36,22
49,47,32
46,43,24
78,72,48
187,180,154
218,208,183
214,204,179
224,212,188
225,213,189
222,207,184
240,225,202
240,224,201
237,221,198
217,202,179
211,196,173
212,200,176
219,207,183
228,216,192
221,209,185
210,196,170
205,191,164
209,194,165
217,200,172
222,203,173
226,205,174
229,206,175
224,201,170
228,205,174
225,202,171
222,201,172
217,196,169
220,200,175
224,204,179
220,202,178
228,210,188
225,208,188
233,216,196
236,221,202
235,220,201
235,222,203
237,224,205
14,20,18
15,21,19
17,23,21
19,25,23
20,26,24
19,25,23
17,23,21
15,21,19
16,22,20
16,22,20
16,22,20
16,22,20
15,21,19
16,22,20
17,23,21
18,24,22
19,25,23
21,27,25
24,30,26
25,31,27
24,30,26
24,30,26
25,32,25
26,33,26
25,32,25
25,32,25
26,33,25
27,34,26
28,35,27
28,35,27
29,37,26
31,39,28
32,39,31
34,41,33
37,44,36
39,46,38
41,46,39
43,48,41
46,51,44
48,53,46
50,55,48
51,56,49
55,58,51
55,58,51
55,58,51
54,57,50
53,56,49
53,56,49
52,57,50
51,57,47
49,52,43
50,53,42
56,59,48
58,60,47
59,61,48
63,65,52
70,72,59
58,60,47
64,68,54
65,69,55
56,62,48
57,65,52
53,61,48
48,54,42
43,45,32
39,40,26
39,41,27
36,40,25
16,25,8
26,37,21
19,32,15
23,36,19
18,31,14
17,30,13
25,36,20
45,56,40
23,31,16
19,26,10
9,16,0
5,11,0
4,10,0
3,9,0
4,7,0
4,7,0
4,7,0
5,8,1
5,6,0
3,4,0
3,2,0
8,7,3
2,1,0
12,11,7
1,2,0
6,7,1
0,1,0
1,2,0
4,5,0
2,3,0
0,2,0
0,2,0
0,2,0
6,11,5
0,2,0
1,6,0
0,3,0
16,22,12
13,16,5
4,6,0
24,25,11
44,45,29
50,49,31
56,54,33
93,87,63
195,188,162
222,212,187
214,204,179
222,210,186
229,217,193
230,215,192
243,228,205
240,224,201
235,219,196
220,205,182
219,204,181
220,208,184
220,208,184
227,215,191
222,210,184
222,208,181
215,199,173
212,197,168
213,196,166
214,195,163
216,195,164
220,197,166
217,194,163
222,199,168
219,196,165
223,202,173
222,201,172
219,199,172
223,203,178
222,204,180
224,206,184
224,207,187
232,215,195
235,220,201
236,221,202
236,223,204
237,224,205
14,20,18
15,21,19
16,22,20
17,23,21
18,24,22
18,24,22
16,22,20
14,20,18
14,20,18
14,20,18
15,21,19
15,21,19
15,21,19
15,21,19
16,22,20
17,23,21
17,23,21
19,25,23
21,27,25
22,28,26
21,27,23
21,27,23
22,28,24
23,29,25
21,28,21
22,29,22
24,31,24
26,33,26
27,34,26
27,34,26
28,35,27
29,36,28
31,38,30
33,40,32
35,42,34
36,43,35
37,42,35
38,43,36
40,45,38
42,47,40
44,49,42
45,50,43
48,51,44
49,52,45
48,51,44
48,51,44
48,51,44
48,51,44
47,53,43
48,54,42
47,53,41
50,53,42
54,57,46
56,60,46
59,63,49
64,68,53
68,72,57
62,66,51
68,72,57
63,67,52
59,63,48
60,66,52
52,58,44
48,54,40
41,44,33
47,50,39
38,44,32
31,39,26
31,39,26
25,36,20
21,34,17
23,36,19
24,37,20
32,45,28
54,65,51
43,54,40
9,20,6
4,12,0
14,22,9
4,10,0
3,9,0
6,11,4
7,10,3
5,8,1
4,7,0
5,8,0
6,7,0
3,4,0
6,7,1
6,7,1
3,4,0
0,1,0
6,7,2
5,5,3
6,6,4
9,9,7
0,1,0
0,1,0
2,3,0
4,4,2
0,1,0
4,6,3
0,2,0
0,4,0
5,8,1
0,2,0
17,19,8
11,13,0
39,40,24
75,74,56
49,47,26
42,37,15
96,88,65
190,180,155
217,207,182
215,205,180
221,209,185
230,218,194
233,218,195
237,222,199
235,220,197
227,212,189
219,204,181
223,208,185
224,209,186
221,206,183
221,209,185
220,205,182
221,205,180
215,198,172
211,194,166
211,191,164
209,190,160
212,191,160
217,194,163
218,195,164
222,199,168
219,196,165
227,206,177
227,206,179
220,200,175
227,207,182
228,210,186
226,208,186
224,207,187
231,216,197
235,220,201
236,221,202
235,222,205
236,223,206
15,21,19
15,21,19
16,22,20
17,23,21
17,23,21
17,23,21
15,21,19
14,20,18
14,20,18
14,20,18
14,20,18
14,20,18
14,20,18
15,21,19
15,21,19
16,22,20
16,22,20
18,24,22
19,25,23
20,26,24
19,25,21
19,25,21
20,26,22
20,26,22
20,27,20
20,27,20
21,28,21
23,30,23
23,30,22
24,31,23
26,33,25
27,34,26
29,36,28
30,37,29
32,39,31
32,39,31
33,38,31
34,39,32
36,41,34
37,42,35
40,45,38
40,45,38
43,46,39
43,46,39
43,46,39
43,46,39
43,46,39
44,47,38
43,49,37
44,50,38
45,51,39
47,53,41
50,56,42
55,59,45
60,64,49
66,70,55
64,68,53
73,77,62
67,71,56
62,66,51
64,68,53
59,63,46
54,58,41
51,55,40
51,57,45
40,48,37
36,44,33
38,46,33
27,35,22
28,39,23
24,35,19
24,35,18
42,53,36
66,77,61
54,65,49
11,22,8
14,25,11
2,13,0
1,9,0
8,16,5
4,9,3
5,10,4
7,9,4
5,8,1
1,4,0
0,3,0
2,3,0
3,4,0
3,4,0
3,4,0
8,9,3
0,1,0
8,9,4
1,1,0
5,5,5
0,0,0
6,6,4
4,5,0
3,3,1
4,4,2
4,6,5
0,1,0
1,6,2
0,4,0
5,8,1
2,5,0
19,21,8
38,39,25
58,57,39
80,79,59
84,82,59
74,70,45
111,104,78
189,179,154
215,205,180
220,210,185
220,208,184
225,213,189
229,214,191
233,218,195
232,217,194
223,208,185
218,203,180
221,206,183
222,207,184
222,207,184
220,208,184
215,201,175
214,197,171
213,193,166
211,191,164
211,190,161
